LearneCN — vocabulary filter report

Generated by tools/filter-vocabulary.py. Every line is a change that
tool made to the shipped data. "trigger" is the word that caused it;
the offending definitions themselves are not repeated here.

Official HSK 1-6 vocabulary is never deleted. The most that happens to
an HSK word is that one sense is dropped from its gloss.

779 headwords are gone from the data entirely.
967 practice questions were about one of them and went with it.
1810 more had an obscene wrong answer swapped for a clean one and were kept.

------------------------------------------------------------------------------
file          word       reading          action                           category   trigger
------------------------------------------------------------------------------
cedict.json   一粒老鼠屎坏了一锅粥 yi1 li4 lao3 sh  sense dropped                    profanity  feces
cedict.json   一颗老鼠屎坏了一锅汤 yi1 ke1 lao3 sh  sense dropped                    profanity  feces
cedict.json   三字经        san1 zi4 jing1   sense dropped                    profanity  swearword
cedict.json   丫挺         ya1 ting3        sense dropped                    profanity  bastard
cedict.json   仆街         pu1 jie1         sense dropped                    profanity  fuck
cedict.json   他妈的        ta1 ma1 de5      sense dropped                    profanity  fucking
cedict.json   你妈         ni3 ma1          removed                          profanity  fuck
cedict.json   便溺         bian4 niao4      sense dropped                    profanity  feces
cedict.json   傻屄         sha3 bi1         removed                          profanity  cunt
cedict.json   兔崽子        tu4 zai3 zi5     sense dropped                    profanity  bastard
cedict.json   入肉         ru4 rou4         sense dropped                    profanity  fuck
cedict.json   关你屁事       guan1 ni3 pi4 s  sense dropped                    profanity  goddamn
cedict.json   出溜屁        chu1 liu5 pi4    removed                          profanity  fart
cedict.json   占着茅坑不拉屎    zhan4 zhe5 mao2  sense dropped                    profanity  shit
cedict.json   卧槽         wo4 cao2         removed                          profanity  fuck
cedict.json   卧草         wo4 cao3         sense dropped                    profanity  fuck
cedict.json   叫苦不迭       jiao4 ku3 bu5 d  sense dropped                    profanity  bitch
cedict.json   吃喝拉撒睡      chi1 he1 la1 sa  sense dropped                    profanity  shit
cedict.json   吃屎都赶不上热乎的  chi1 shi3 dou1   sense dropped                    profanity  shit
cedict.json   哇靠         wa1 kao4         sense dropped                    profanity  crap
cedict.json   响屁         xiang3 pi4       removed                          profanity  fart
cedict.json   唬烂         hu3 lan4         sense dropped                    profanity  bullshit
cedict.json   喷粪         pen1 fen4        removed                          profanity  crap
cedict.json   国骂         guo2 ma4         sense dropped                    profanity  curse word
cedict.json   圣母婊        sheng4 mu3 biao  removed                          profanity  bitch
cedict.json   坏东西        huai4 dong1 xi5  sense dropped                    profanity  bastard
cedict.json   坏家伙        huai4 jia1 huo3  sense dropped                    profanity  bastard
cedict.json   坏蛋         huai4 dan4       sense dropped                    profanity  bastard
cedict.json   大便         da4 bian4        sense dropped                    profanity  excrement
cedict.json   大坏蛋        da4 huai4 dan4   sense dropped                    profanity  bastard
cedict.json   大恭         da4 gong1        removed                          profanity  excrement
cedict.json   大粪         da4 fen4         sense dropped                    profanity  excrement
cedict.json   天杀的        tian1 sha1 de5   sense dropped                    profanity  goddamn
cedict.json   夭寿         yao1 shou4       sense dropped                    profanity  curse word
cedict.json   奇文共赏       qi2 wen2 gong4   sense dropped                    profanity  bullshit
cedict.json   妈了个巴子      ma1 le5 ge5 ba1  removed                          profanity  fuck
cedict.json   妈惹法克       ma1 re3 fa3 ke4  removed                          profanity  motherfucker
cedict.json   妈拉个巴子      ma1 la1 ge5 ba1  removed                          profanity  fuck
cedict.json   妈的法克       ma1 de5 fa3 ke4  removed                          profanity  motherfucker
cedict.json   娘希匹        niang2 xi1 pi3   removed                          profanity  fuck
cedict.json   小号         xiao3 hao4       sense dropped                    profanity  piss
cedict.json   尝粪         chang2 fen4      sense dropped                    profanity  excrement
cedict.json   尬电         ga4 dian4        removed                          profanity  goddamn
cedict.json   屁          pi4              sense dropped                    profanity  fart
cedict.json   屁事         pi4 shi4         sense dropped                    profanity  goddamn
cedict.json   屁滚尿流       pi4 gun3 niao4   sense dropped                    profanity  piss
cedict.json   屁话         pi4 hua4         sense dropped                    profanity  bullshit
cedict.json   屄          bi1              removed                          profanity  cunt
cedict.json   屎          shi3             sense dropped                    profanity  feces
cedict.json   屙          e1               removed                          profanity  feces
cedict.json   崽子         zai3 zi5         sense dropped                    profanity  bastard
cedict.json   干          gan4             sense dropped                    profanity  fuck
cedict.json   干你娘        gan4 ni3 niang2  removed                          profanity  fuck
cedict.json   开口成脏       kai1 kou3 cheng  removed                          profanity  foul language
cedict.json   惹毛         re3 mao2         sense dropped                    profanity  piss
cedict.json   我勒个去       wo3 le4 ge5 qu4  sense dropped                    profanity  crap
cedict.json   我操         wo3 cao4         removed                          profanity  fuck
cedict.json   我曹         wo3 cao2         sense dropped                    profanity  fuck
cedict.json   我肏         wo3 cao4         removed                          profanity  fuck
cedict.json   我靠         wo3 kao4         sense dropped                    profanity  crap
cedict.json   戳          chuo1            sense dropped                    profanity  fuck
